ISBN,Título,Precio,Autores,Colecciones,Editoriales,Series,Fecha de venta,Formato,Páginas,Nombre Imagen
9788467939408,501 MANGAS QUE LEER EN ESPANOL,29.5,"Marc Bernabé, Oriol Estrada",LIBROS TEÓRICOS,NORMA Editorial,501 MANGAS QUE LEER EN ESPANOL,6/11/2019,Cartoné con sobrecubierta,620,501_mangas.jpg
9788467938999,"YONA, LA PRINCESA DEL AMANECER 23",8.0,Mizuho Kusanagi,CÓMIC MANGA,NORMA Editorial,"YONA, LA PRINCESA DEL AMANECER",6/11/2019,Rústica con sobrecubierta,192,yona_23.jpg
9788467939309,AKAME GA KILL! ZERO 10,8.0,"Kei Toru, Takahiro",CÓMIC MANGA,NORMA Editorial,AKAME GA KILL! ZERO,6/11/2019,Rústica con sobrecubierta,192,akame_kill_zero_10.jpg
9788467938838,GUARDIANES DE LA NOCHE 08,8.0,Koyoharu Gotouge,CÓMIC MANGA,NORMA Editorial,GUARDIANES DE LA NOCHE,6/11/2019,Rústica con sobrecubierta,192,guardianes_noche_8_1.jpg
9788467938043,TWIN STAR EXORCISTS: ONMYOJI 16,8.0,Yoshiaki Sukeno,CÓMIC MANGA,NORMA Editorial,TWIN STAR EXORCISTS,6/11/2019,Rústica con sobrecubierta,188,twin_star_16.jpg
9788467939750,JAPON CON JAMON,24.5,Nekojitablog,LIBROS TEÓRICOS,NORMA Editorial,JAPON CON JAMON,6/11/2019,Rústica,424,japon_jamon.jpg
9788467938371,"YONA, LA PRINCESA DEL AMANECER 23 (Edicion especial con artbook)",14.0,Mizuho Kusanagi,CÓMIC MANGA,NORMA Editorial,"YONA, LA PRINCESA DEL AMANECER",6/11/2019,Rústica con sobrecubierta,192,yona_artbook.jpg
9788467938418,THE LEGEND OF ZELDA: BREATH OF THE WILD,29.95,Nintendo,"ARTBOOK, THE LEGEND OF ZELDA",NORMA Editorial,THE LEGEND OF ZELDA: BREATH OF THE WILD,6/11/2019,Cartoné,424,breath_wild.jpg
9788467937947,CARD CAPTOR SAKURA CLEAR CARD ARC 06,8.0,CLAMP,CÓMIC MANGA,NORMA Editorial,CARD CAPTOR SAKURA CLEAR CARD ARC,6/11/2019,Cartoné con sobrecubierta,160,sakura_clear_card_6.jpg
9788467938708,COLOR RECIPE 02 (de 02),9.5,Harada,CÓMIC MANGA,NORMA Editorial,COLOR RECIPE,6/11/2019,Rústica con sobrecubierta,240,color_recipe_2.jpg
9788467939804,MUSES (Nueva edicion),29.0,Conrad Roset,ARTBOOK,NORMA Editorial,MUSES,6/11/2019,Cartoné,164,muses.jpg
9788418043178,KEN PARKER 28: ATRACO EN REGINALD STREET / UNA HISTORIA DE JOYAS Y ESTAFAS,9.95,"Giancarlo Berardi, Giorgio Trevisan, Ivo Milazzo",CÓMIC EUROPEO,ECC Ediciones,KEN PARKER,5/11/2019,Rústica con solapas,200,parker_28.jpg
